row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes
AM_0061,AM.json,AM,AMAZONAS,Pauini,Ambulatório Municipal Mario Said,"Rua 19 de março, 536 - Cidade Alta",(97) 3458-1253/1132,2018381,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0062,AM.json,AM,AMAZONAS,Presidente Figueiredo,Hospital Geral Evaldo Neves Falcão,BR 174 Km 107 - Centro,(92) 3324-1005,2013320,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0063,AM.json,AM,AMAZONAS,Presidente Figueiredo,Hospital de Balbina,"Rua Rio Negro, s/n - Vila de Balbina",(92) 3312-1200,7132026,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0064,AM.json,AM,AMAZONAS,Presidente Figueiredo,Hospital de Pitinga,"Avenida Cassiterita, s/n - Vila do Pitinga",(92) 3323-1225,5928761,Botrópico,
AM_0065,AM.json,AM,AMAZONAS,Rio Preto da Eva,Hospital Thomé de Medeiros Raposo,"Rua Gov. Angelo do Amaral, s/n - Centro",(92) 3358-1135,2708930,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0066,AM.json,AM,AMAZONAS,Santa Isabel do Rio Negro,Unidade Mista de Santa Isabel do Rio Negro,"Rua Danilo Correa, s/n - Centro",(97) 3441-1944/1138,2016478,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0067,AM.json,AM,AMAZONAS,Santa Isabel do Rio Negro,PB Missão Marauia,Missão Marauia,,9681760,Botrópico,indigenous mission post; municipality inherited (blank in source)
AM_0068,AM.json,AM,AMAZONAS,Santo Antônio do Içá,Unidade Hospitalar Dom Adalberto Marzzin,"Rua Hugo Ribeiro, s/n - Santa Etelvina",(97) 3461-1959/1182,3220966,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0069,AM.json,AM,AMAZONAS,Santo Antônio do Içá,3º Pelotão Especial de Fronteira do Exército – PEF (Exército 8º BIS),Comunidade Ipiranga,,,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,military border post; municipality inherited (blank in source)
AM_0070,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,Hospital de Guarnição de São Gabriel da Cachoeira,"Rua Quitino de Sá Cavalcante, s/n - Dabarú",(97) 3471-1413/1475,4004787,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0071,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,Unidade Mista de Iauaretê,Rua da Missão - Vila de Iauaretê - Área Indígena Iauaretê,,2717387,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0072,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,Unidade Basica de Saúde de Inambu,Inambu,,7149735,Botrópico,
AM_0073,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,Unidade Basica de Saúde de Maiá,Maiá,,7149751,Botrópico,
AM_0074,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,Unidade Basica de Saúde de Maturacá,Comunidade Indígena de Maturacá,,7149743,Botrópico,
AM_0075,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,2º Pelotão Especial de Fronteira do Exército (5º BIS),Comunidade Querari,,4004752,Botrópico|Laquético,military border post
AM_0076,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,3º Pelotão Especial de Fronteira do Exército (5º BIS),Comunidade São Joaquim,,4004744,Botrópico|Laquético,military border post
AM_0077,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,4º Pelotão Especial de Fronteira do Exército (5º BIS),Comunidade Cucui,,4004736,Botrópico|Laquético,military border post
AM_0078,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,5º Pelotão Especial de Fronteira do Exército (5º BIS),Comunidade Maturacá,,4004760,Botrópico|Laquético,military border post
AM_0079,AM.json,AM,AMAZONAS,São Gabriel da Cachoeira,6º Pelotão Especial de Fronteira do Exército (5º BIS),Comunidade Pari-Cachoeira - Área Indígena Pari-Cachoeira,,5982146,Botrópico|Laquético,military border post; address wraps across pages 8-9
